客户名称,销售阶段,下次跟进日期,最近跟进日期,预计金额(元),负责人,备注
华宇精密制造,商务谈判,2026-08-07,2026-08-04,1500000,张敏,已确认立项；等待法务合同条款确认
蓝海零售集团,方案演示,2026-08-07,2026-08-03,420000,李强,8月7日演示后客户内部评审；IT 负责人王总
远山能源科技,商务谈判,2026-08-06,2026-08-01,980000,张敏,合同版本已发客户法务；上周客户要求增加私有化部署条款
晨光教育集团,初步接触,2026-08-08,2026-08-05,260000,王芳,8月5日首次电话；客户先看产品资料
恒达物流,方案演示,2026-08-09,2026-08-02,310000,李强,演示完成；客户比较我司与竞品的API接入成本
瑞芯半导体,线索,2026-08-12,2026-08-06,,张伟,行业大会交换名片；尚未确定需求
绿源食品,商务谈判,2026-08-06,2026-07-31,650000,王芳,报价单已发；客户对账期有异议，需要跟进
天启汽车配件,方案演示,2026-08-10,2026-08-04,380000,张伟,下周二次演示；需准备移动端案例
中科智联,初步接触,2026-08-13,2026-08-05,,张伟,客户咨询私有化部署报价
金桥建设集团,商务谈判,2026-08-05,2026-07-29,2200000,张敏,大额单；已超期未跟进，客户催合同
